,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
original_glcm_Imc2,0.9317067736185383,<,0.6647382574487344,0.8768939393939394,0.8770053475935828,mann-whitney U-test,4.878127783239136e-69
squareroot_glcm_Imc2,0.928698752228164,<,0.6932122310922915,0.8731060606060606,0.8716577540106951,mann-whitney U-test,4.180784117601182e-68
original_glcm_ClusterTendency,0.9285367039377734,<,9.53718818283489,0.8693181818181818,0.8716577540106951,mann-whitney U-test,4.69176894594533e-68
squareroot_firstorder_Kurtosis,0.9281417112299466,>,7.943985071585124,0.8342245989304813,0.8333333333333334,mann-whitney U-test,6.213339202437777e-68
log-sigma-0-6-mm-3D_firstorder_10Percentile,0.9271694214876034,>,-5.643248796463013,0.8663101604278075,0.865530303030303,mann-whitney U-test,1.2391622297434897e-67
original_glcm_Correlation,0.924536136768757,<,0.5707771292777886,0.8579545454545454,0.8663101604278075,mann-whitney U-test,7.974332124211962e-67
logarithm_glcm_Imc2,0.9241208880246312,<,0.7251119885461508,0.8712121212121212,0.8663101604278075,mann-whitney U-test,1.0684288142613866e-66
exponential_firstorder_RobustMeanAbsoluteDeviation,0.923442310808621,<,0.0957818922594197,0.8693181818181818,0.8716577540106951,mann-whitney U-test,1.7222656053799716e-66
squareroot_firstorder_90Percentile,0.9226219413385189,<,-69.48726479349622,0.8806818181818182,0.8663101604278075,mann-whitney U-test,3.0643761242305436e-66
original_firstorder_RobustMeanAbsoluteDeviation,0.9225409171933238,<,11.968011553255185,0.8712121212121212,0.8716577540106951,mann-whitney U-test,3.243628939459092e-66
original_glcm_SumEntropy,0.922277588721439,<,3.441484562554195,0.875,0.8770053475935828,mann-whitney U-test,3.9015596844570333e-66
original_glcm_SumSquares,0.9219231080862096,<,3.1170909257423585,0.8598484848484849,0.8609625668449198,mann-whitney U-test,5.001852750943719e-66
original_ngtdm_Contrast,0.9213255550153947,<,0.0414448602016261,0.8503787878787878,0.8502673796791445,mann-whitney U-test,7.599820562903997e-66
logarithm_firstorder_90Percentile,0.9205051855452925,<,-146.4332250240188,0.8598484848484849,0.8609625668449198,mann-whitney U-test,1.3483463052251893e-65
original_firstorder_InterquartileRange,0.9182365094798249,<,28.504034693871937,0.8712121212121212,0.8663101604278075,mann-whitney U-test,6.544538772655455e-65
original_firstorder_MeanAbsoluteDeviation,0.9180035650623886,<,17.16736474941125,0.8617424242424242,0.8663101604278075,mann-whitney U-test,7.69335585902925e-65
original_glrlm_RunEntropy,0.9178516447901475,<,3.8590189996366377,0.8617424242424242,0.8609625668449198,mann-whitney U-test,8.548727545910952e-65
squareroot_glcm_Correlation,0.9172743477556312,<,0.5454436907854991,0.8636363636363636,0.8609625668449198,mann-whitney U-test,1.2756637266002996e-64
exponential_firstorder_MeanAbsoluteDeviation,0.9168185869389077,<,0.1609317924541998,0.8636363636363636,0.8609625668449198,mann-whitney U-test,1.7490633626488058e-64
exponential_firstorder_InterquartileRange,0.9162615459406904,<,0.209654384094003,0.8636363636363636,0.8609625668449198,mann-whitney U-test,2.5711812732746974e-64
logarithm_glcm_Correlation,0.9156943769243233,<,0.4853897893475599,0.8598484848484849,0.8556149732620321,mann-whitney U-test,3.8042918531009996e-64
original_glcm_MCC,0.9141954302382109,<,0.5947278762379575,0.865530303030303,0.8609625668449198,mann-whitney U-test,1.0686204787239227e-63
logarithm_firstorder_Kurtosis,0.9138409496029817,>,11.954188826619374,0.8449197860962567,0.8352272727272727,mann-whitney U-test,1.363528300469671e-63
original_firstorder_90Percentile,0.9138308215848323,<,-12.620738279390697,0.8560606060606061,0.8556149732620321,mann-whitney U-test,1.3730515821250534e-63
squareroot_glcm_Idmn,0.9137295414033382,>,0.9811348539519374,0.8556149732620321,0.8503787878787878,mann-whitney U-test,1.472006672078304e-63
squareroot_glcm_MCC,0.9133953168044078,<,0.6093062795920817,0.8617424242424242,0.8609625668449198,mann-whitney U-test,1.85179672027169e-63
logarithm_firstorder_RootMeanSquared,0.9129901960784315,<,136.5959733568361,0.8484848484848485,0.8502673796791445,mann-whitney U-test,2.4452010745028725e-63
logarithm_firstorder_Skewness,0.9121596985901799,>,2.952675786297937,0.8288770053475936,0.8162878787878788,mann-whitney U-test,4.319422797236972e-63
squareroot_glcm_Idn,0.9117444498460543,>,0.9293773580287794,0.8502673796791443,0.8522727272727273,mann-whitney U-test,5.738469145314935e-63
log-sigma-2-mm-3D_firstorder_10Percentile,0.9110760006481932,>,2.9047961235046387,0.8449197860962567,0.8409090909090909,mann-whitney U-test,9.060096181353704e-63
logarithm_glcm_Imc1,0.9107519040674121,>,-0.139856403673711,0.839572192513369,0.8428030303030303,mann-whitney U-test,1.1302666105235277e-62
original_gldm_GrayLevelVariance,0.9100733268514016,<,3.157650744593098,0.8522727272727273,0.8502673796791445,mann-whitney U-test,1.794890491876611e-62
original_gldm_DependenceEntropy,0.9094757737805866,<,5.125393788175058,0.865530303030303,0.8609625668449198,mann-whitney U-test,2.6954981328940636e-62
original_firstorder_Variance,0.909465645762437,<,487.0164816450695,0.8484848484848485,0.8502673796791445,mann-whitney U-test,2.7141264050278746e-62
logarithm_glcm_Idmn,0.9088073245827257,>,0.9785776656047188,0.8502673796791443,0.8522727272727273,mann-whitney U-test,4.245118012605102e-62
squareroot_ngtdm_Contrast,0.9087465564738293,<,0.0756724269117915,0.8484848484848485,0.8502673796791445,mann-whitney U-test,4.423904934707956e-62
logarithm_glcm_Idn,0.9086857883649327,>,0.9381898454746136,0.8502673796791443,0.8503787878787878,mann-whitney U-test,4.610193554990247e-62
original_glcm_JointEntropy,0.9086250202560363,<,4.926053274986993,0.8560606060606061,0.8556149732620321,mann-whitney U-test,4.804297450144779e-62
original_glcm_ClusterShade,0.9079261870037272,<,29.73535204942705,0.8295454545454546,0.8342245989304813,mann-whitney U-test,7.716372784763158e-62
wavelet2-HL_firstorder_10Percentile,0.9073185059147626,>,-10.30522234366239,0.8342245989304813,0.8314393939393939,mann-whitney U-test,1.1643161848713227e-61
squareroot_firstorder_RootMeanSquared,0.907176713660671,<,192.5055645138449,0.8390151515151515,0.8342245989304813,mann-whitney U-test,1.2815031820745224e-61
original_glcm_ClusterProminence,0.9070653054610274,<,379.8495805776579,0.8314393939393939,0.8342245989304813,mann-whitney U-test,1.3817631617417866e-61
squareroot_glcm_Imc1,0.9061436558094312,>,-0.1294382285159615,0.8449197860962567,0.8465909090909091,mann-whitney U-test,2.574696559718844e-61
squareroot_glcm_ClusterTendency,0.9054346945389726,<,46.67415727368087,0.8484848484848485,0.8502673796791445,mann-whitney U-test,4.1517328556549226e-61
squareroot_firstorder_RobustMeanAbsoluteDeviation,0.9046953492140658,<,17.93734528108064,0.8484848484848485,0.8502673796791445,mann-whitney U-test,6.827195826476773e-61
wavelet-HL_firstorder_10Percentile,0.9034597309998379,>,-6.131392353747736,0.8128342245989305,0.8181818181818181,mann-whitney U-test,1.5645037377410064e-60
original_firstorder_Entropy,0.9033179387457463,<,2.6184331701295505,0.8579545454545454,0.8609625668449198,mann-whitney U-test,1.720416345133746e-60
original_glcm_Imc1,0.9028621779290228,>,-0.1386357975546215,0.8556149732620321,0.8579545454545454,mann-whitney U-test,2.3342517622412213e-60
