Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,0.9991174920969441,0.9931224209078404,0.8903268260583461,0.6122321344656758,0.611566681053086,0.8691099476439791,0.8056889944405463,0.8263888888888888,0.8556701030927835,0.7659574468085106,0.8829787234042553,0.72,0.810813774950647,"[0.72, 0.8829787234042553]","[0.7659574468085106, 0.8556701030927835]","[0.7422680412371134, 0.8691099476439791]","[0.7659574468085106, 0.8556701030927835]"
Gradient Boosting,2,1,0.9995298732000859,0.9933598937583001,0.9005507955936353,0.6050775381775609,0.6050127877237852,0.8439306358381503,0.8024962913704026,0.8111888111888111,0.8488372093023255,0.7543859649122807,0.8390804597701149,0.7678571428571429,0.8016115871073031,"[0.7678571428571429, 0.8390804597701149]","[0.7543859649122807, 0.8488372093023255]","[0.7610619469026548, 0.8439306358381503]","[0.7543859649122807, 0.8488372093023255]"
Gradient Boosting,3,1,0.9999465240641712,0.9946808510638298,0.840599173553719,0.515999819722341,0.5071090047393365,0.8297872340425532,0.7516283108988275,0.7762237762237763,0.8863636363636364,0.6,0.78,0.7674418604651163,0.7431818181818182,"[0.7674418604651163, 0.78]","[0.6, 0.8863636363636364]","[0.673469387755102, 0.8297872340425532]","[0.6, 0.8863636363636364]"
Gradient Boosting,4,1,0.9995872720010651,0.9892183288409704,0.8927675585284282,0.6951816970931011,0.6938775510204082,0.8936170212765957,0.8468085106382979,0.8611111111111112,0.9130434782608695,0.7692307692307693,0.875,0.8333333333333334,0.8411371237458194,"[0.8333333333333334, 0.875]","[0.7692307692307693, 0.9130434782608695]","[0.8, 0.8936170212765957]","[0.7692307692307693, 0.9130434782608695]"
Gradient Boosting,5,1,0.9989294060814956,0.9875862068965517,0.921487603305785,0.6123724356957946,0.6101694915254237,0.8866995073891626,0.8047955368271114,0.8391608391608392,0.9090909090909091,0.6818181818181818,0.8653846153846154,0.7692307692307693,0.7954545454545454,"[0.7692307692307693, 0.8653846153846154]","[0.6818181818181818, 0.9090909090909091]","[0.7228915662650602, 0.8866995073891626]","[0.6818181818181818, 0.9090909090909091]"
Gradient Boosting,6,2,0.9995340167753961,0.9905277401894452,0.8948578595317725,0.6472337470028501,0.6434108527131783,0.8795811518324608,0.8212338748853025,0.8402777777777778,0.9130434782608695,0.7115384615384616,0.8484848484848485,0.8222222222222222,0.8122909698996655,"[0.8222222222222222, 0.8484848484848485]","[0.7115384615384616, 0.9130434782608695]","[0.7628865979381443, 0.8795811518324608]","[0.7115384615384616, 0.9130434782608695]"
Gradient Boosting,7,2,0.9991896487592328,0.9891891891891892,0.9523508328062408,0.771373029787804,0.7712833545108004,0.9197860962566845,0.885635622385768,0.8958333333333334,0.9247311827956989,0.8431372549019608,0.9148936170212766,0.86,0.8839342188488298,"[0.86, 0.9148936170212766]","[0.8431372549019608, 0.9247311827956989]","[0.8514851485148515, 0.9197860962566845]","[0.8431372549019608, 0.9247311827956989]"
Gradient Boosting,8,2,0.9999601662395602,0.9919786096256684,0.8071639898562977,0.4441767823999583,0.44225352112676053,0.8085106382978723,0.7205818497611811,0.7482517482517482,0.8351648351648352,0.5961538461538461,0.7835051546391752,0.6739130434782609,0.7156593406593407,"[0.6739130434782609, 0.7835051546391752]","[0.5961538461538461, 0.8351648351648352]","[0.6326530612244898, 0.8085106382978723]","[0.5961538461538461, 0.8351648351648352]"
Gradient Boosting,9,2,0.9995524490252603,0.9918478260869565,0.8805921052631579,0.6282830428520738,0.6176915029640824,0.8855721393034826,0.8074919520046824,0.8391608391608392,0.9368421052631579,0.6458333333333334,0.839622641509434,0.8378378378378378,0.7913377192982456,"[0.8378378378378378, 0.839622641509434]","[0.6458333333333334, 0.9368421052631579]","[0.7294117647058823, 0.8855721393034826]","[0.6458333333333334, 0.9368421052631579]"
Gradient Boosting,10,2,0.999322826072524,0.9933065595716198,0.9040574809805579,0.6459926055212081,0.6421499292786421,0.8783068783068783,0.8205967381225112,0.8391608391608392,0.9120879120879121,0.7115384615384616,0.8469387755102041,0.8222222222222222,0.8118131868131868,"[0.8222222222222222, 0.8469387755102041]","[0.7115384615384616, 0.9120879120879121]","[0.7628865979381443, 0.8783068783068783]","[0.7115384615384616, 0.9120879120879121]"
Gradient Boosting,11,3,0.9996599842232679,0.9908256880733946,0.9014418329053921,0.6459432958531528,0.6341463414634145,0.8603351955307262,0.8154886986827943,0.8263888888888888,0.927710843373494,0.6885245901639344,0.8020833333333334,0.875,0.8081177167687141,"[0.875, 0.8020833333333334]","[0.6885245901639344, 0.927710843373494]","[0.7706422018348624, 0.8603351955307262]","[0.6885245901639344, 0.927710843373494]"
Gradient Boosting,12,3,0.9997492146458647,0.9931787175989086,0.8601345486111112,0.6123724356957946,0.6,0.8823529411764706,0.7983193277310925,0.8333333333333334,0.9375,0.625,0.8333333333333334,0.8333333333333334,0.78125,"[0.8333333333333334, 0.8333333333333334]","[0.625, 0.9375]","[0.7142857142857143, 0.8823529411764706]","[0.625, 0.9375]"
Gradient Boosting,13,3,0.9994855424229633,0.9905020352781547,0.8904689535388625,0.5997270836280497,0.5898818400825973,0.8743718592964824,0.793507768728701,0.8251748251748252,0.925531914893617,0.6326530612244898,0.8285714285714286,0.8157894736842105,0.7790924880590534,"[0.8157894736842105, 0.8285714285714286]","[0.6326530612244898, 0.925531914893617]","[0.7126436781609196, 0.8743718592964824]","[0.6326530612244898, 0.925531914893617]"
Gradient Boosting,14,3,0.999814924978518,0.994579945799458,0.9004301075268818,0.6002150537634409,0.600215053763441,0.8602150537634409,0.8001075268817204,0.8181818181818182,0.8602150537634409,0.74,0.8602150537634409,0.74,0.8001075268817204,"[0.74, 0.8602150537634409]","[0.74, 0.8602150537634409]","[0.74, 0.8602150537634409]","[0.74, 0.8602150537634409]"
Gradient Boosting,15,3,0.9988309163514082,0.9877216916780355,0.8964982269503546,0.6196808510638298,0.6196808510638299,0.875,0.8098404255319149,0.8321678321678322,0.875,0.7446808510638298,0.875,0.7446808510638298,0.8098404255319149,"[0.7446808510638298, 0.875]","[0.7446808510638298, 0.875]","[0.7446808510638298, 0.875]","[0.7446808510638298, 0.875]"
Gradient Boosting,16,4,0.9998387660226264,0.9959946595460614,0.8758116883116883,0.5937986879971447,0.5935483870967742,0.8390804597701149,0.7967332123411979,0.8055555555555556,0.8295454545454546,0.7678571428571429,0.8488372093023255,0.7413793103448276,0.7987012987012987,"[0.7413793103448276, 0.8488372093023255]","[0.7678571428571429, 0.8295454545454546]","[0.7543859649122807, 0.8390804597701149]","[0.7678571428571429, 0.8295454545454546]"
Gradient Boosting,17,4,0.9997090024073437,0.9931787175989086,0.9334049409237379,0.7804203957812481,0.776843037414213,0.9285714285714286,0.8881987577639752,0.9027777777777778,0.9578947368421052,0.7959183673469388,0.900990099009901,0.9069767441860465,0.8769065520945221,"[0.9069767441860465, 0.900990099009901]","[0.7959183673469388, 0.9578947368421052]","[0.8478260869565217, 0.9285714285714286]","[0.7959183673469388, 0.9578947368421052]"
Gradient Boosting,18,4,0.9993626598329637,0.9919137466307277,0.8854606931530009,0.5669467095138409,0.5625,0.8526315789473684,0.7804824561403509,0.8041958041958042,0.8901098901098901,0.6538461538461539,0.8181818181818182,0.7727272727272727,0.7719780219780219,"[0.7727272727272727, 0.8181818181818182]","[0.6538461538461539, 0.8901098901098901]","[0.7083333333333334, 0.8526315789473684]","[0.6538461538461539, 0.8901098901098901]"
Gradient Boosting,19,4,0.9992861392028554,0.9959404600811907,0.8660215053763441,0.5136460340657863,0.5120528343423225,0.837696335078534,0.7556902728024248,0.7832167832167832,0.8602150537634409,0.64,0.8163265306122449,0.7111111111111111,0.7501075268817204,"[0.7111111111111111, 0.8163265306122449]","[0.64, 0.8602150537634409]","[0.6736842105263158, 0.837696335078534]","[0.64, 0.8602150537634409]"
Gradient Boosting,20,4,0.9992365306901498,0.9877551020408163,0.8914473684210525,0.5944687880053119,0.5844472858305243,0.8756218905472637,0.7907521217442202,0.8251748251748252,0.9263157894736842,0.625,0.8301886792452831,0.8108108108108109,0.7756578947368421,"[0.8108108108108109, 0.8301886792452831]","[0.625, 0.9263157894736842]","[0.7058823529411765, 0.8756218905472637]","[0.625, 0.9263157894736842]"
Gradient Boosting,21,5,0.9993607703397437,0.9907529722589168,0.9219830140233063,0.7168819138916835,0.709267110841914,0.8863636363636364,0.8538961038961039,0.8611111111111112,0.9397590361445783,0.7540983606557377,0.8387096774193549,0.9019607843137255,0.846928698400158,"[0.9019607843137255, 0.8387096774193549]","[0.7540983606557377, 0.9397590361445783]","[0.8214285714285714, 0.8863636363636364]","[0.7540983606557377, 0.9397590361445783]"
Gradient Boosting,22,5,0.9990103247204837,0.9919571045576407,0.8818930041152264,0.6283222572373212,0.6282527881040892,0.861878453038674,0.8141167966127949,0.8263888888888888,0.8666666666666667,0.7592592592592593,0.8571428571428571,0.7735849056603774,0.812962962962963,"[0.7735849056603774, 0.8571428571428571]","[0.7592592592592593, 0.8666666666666667]","[0.7663551401869159, 0.861878453038674]","[0.7592592592592593, 0.8666666666666667]"
Gradient Boosting,23,5,0.999334610880443,0.9932885906040269,0.8979035639412998,0.6507857277652812,0.6369356441108289,0.8808290155440415,0.8167585937935261,0.8391608391608392,0.9444444444444444,0.660377358490566,0.8252427184466019,0.875,0.8024109014675052,"[0.875, 0.8252427184466019]","[0.660377358490566, 0.9444444444444444]","[0.7526881720430108, 0.8808290155440415]","[0.660377358490566, 0.9444444444444444]"
Gradient Boosting,24,5,0.9992977254106354,0.9903181189488244,0.834040546911834,0.4849535509366698,0.47856154910096815,0.8625592417061612,0.7379462875197472,0.7972027972027972,0.900990099009901,0.5476190476190477,0.8272727272727273,0.696969696969697,0.7243045733144744,"[0.696969696969697, 0.8272727272727273]","[0.5476190476190477, 0.900990099009901]","[0.6133333333333333, 0.8625592417061612]","[0.5476190476190477, 0.900990099009901]"
Gradient Boosting,25,5,0.9992019884877027,0.990450204638472,0.8659863945578232,0.5317667610268914,0.5290519877675841,0.8613861386138614,0.764026402640264,0.8041958041958042,0.8877551020408163,0.6222222222222222,0.8365384615384616,0.717948717948718,0.7549886621315193,"[0.717948717948718, 0.8365384615384616]","[0.6222222222222222, 0.8877551020408163]","[0.6666666666666666, 0.8613861386138614]","[0.6222222222222222, 0.8877551020408163]"
Gradient Boosting,26,6,0.9988196988196988,0.9894179894179894,0.9208333333333334,0.7416198487095662,0.7403846153846154,0.8953488372093024,0.8700882117080995,0.875,0.9166666666666666,0.8166666666666667,0.875,0.875,0.8666666666666667,"[0.875, 0.875]","[0.8166666666666667, 0.9166666666666666]","[0.8448275862068966, 0.8953488372093024]","[0.8166666666666667, 0.9166666666666666]"
Gradient Boosting,27,6,0.9996932228935751,0.9906790945406125,0.8493549729504786,0.5508633716263207,0.5148156525672924,0.85,0.7505813953488372,0.7902097902097902,0.9550561797752809,0.5185185185185185,0.7657657657657657,0.875,0.7367873491468997,"[0.875, 0.7657657657657657]","[0.5185185185185185, 0.9550561797752809]","[0.6511627906976745, 0.85]","[0.5185185185185185, 0.9550561797752809]"
Gradient Boosting,28,6,0.9991918388977212,0.9865591397849462,0.920076726342711,0.6585786554471895,0.6461988304093568,0.8877551020408163,0.8216553287981859,0.8461538461538461,0.9456521739130435,0.6666666666666666,0.8365384615384616,0.8717948717948718,0.806159420289855,"[0.8717948717948718, 0.8365384615384616]","[0.6666666666666666, 0.9456521739130435]","[0.7555555555555555, 0.8877551020408163]","[0.6666666666666666, 0.9456521739130435]"
Gradient Boosting,29,6,0.9995430391811262,0.989010989010989,0.8888888888888888,0.6249262995094654,0.6248431618569636,0.883248730964467,0.8124108823361661,0.8391608391608392,0.8787878787878788,0.75,0.8877551020408163,0.7333333333333333,0.8143939393939394,"[0.7333333333333333, 0.8877551020408163]","[0.75, 0.8787878787878788]","[0.7415730337078652, 0.883248730964467]","[0.75, 0.8787878787878788]"
Gradient Boosting,30,6,0.9995004995004995,0.990450204638472,0.879214729370009,0.6089328792055572,0.6076294277929155,0.88,0.8036363636363637,0.8333333333333334,0.8979591836734694,0.6956521739130435,0.8627450980392157,0.7619047619047619,0.7968056787932565,"[0.7619047619047619, 0.8627450980392157]","[0.6956521739130435, 0.8979591836734694]","[0.7272727272727273, 0.88]","[0.6956521739130435, 0.8979591836734694]"
Gradient Boosting,31,7,0.9994315552911626,0.991869918699187,0.9141935483870968,0.6540852086428582,0.6487271103171058,0.8865979381443299,0.8237337516808606,0.8461538461538461,0.9247311827956989,0.7,0.8514851485148515,0.8333333333333334,0.8123655913978494,"[0.8333333333333334, 0.8514851485148515]","[0.7, 0.9247311827956989]","[0.7608695652173914, 0.8865979381443299]","[0.7, 0.9247311827956989]"
Gradient Boosting,32,7,0.9996455061082024,0.9934469200524246,0.8873015873015873,0.6385390815666205,0.6209216965742251,0.8522727272727273,0.8079545454545455,0.8181818181818182,0.9375,0.6666666666666666,0.78125,0.8936170212765957,0.8020833333333333,"[0.8936170212765957, 0.78125]","[0.6666666666666666, 0.9375]","[0.7636363636363637, 0.8522727272727273]","[0.6666666666666666, 0.9375]"
Gradient Boosting,33,7,0.9995776246667195,0.9877551020408163,0.8898654513888891,0.583383351196948,0.5806451612903225,0.8686868686868687,0.7898989898989899,0.8194444444444444,0.8958333333333334,0.6666666666666666,0.8431372549019608,0.7619047619047619,0.78125,"[0.7619047619047619, 0.8431372549019608]","[0.6666666666666666, 0.8958333333333334]","[0.7111111111111111, 0.8686868686868687]","[0.6666666666666666, 0.8958333333333334]"
Gradient Boosting,34,7,0.9995277449822904,0.9917582417582418,0.9019079685746354,0.6586236588272109,0.6585365853658536,0.8944723618090452,0.829258652814635,0.8541666666666666,0.898989898989899,0.7555555555555555,0.89,0.7727272727272727,0.8272727272727273,"[0.7727272727272727, 0.89]","[0.7555555555555555, 0.898989898989899]","[0.7640449438202247, 0.8944723618090452]","[0.7555555555555555, 0.898989898989899]"
Gradient Boosting,35,7,0.9994723512030392,0.9905020352781547,0.8343465045592705,0.5049482732043021,0.5017421602787456,0.841025641025641,0.7501831501831502,0.7832167832167832,0.8723404255319149,0.6122448979591837,0.8118811881188119,0.7142857142857143,0.7422926617455493,"[0.7142857142857143, 0.8118811881188119]","[0.6122448979591837, 0.8723404255319149]","[0.6593406593406593, 0.841025641025641]","[0.6122448979591837, 0.8723404255319149]"
