,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
logarithm_glcm_Autocorrelation,0.8734360776908501,<,40.45939193411493,0.8063508589276418,0.8059071729957806,mann-whitney U-test,0.0
squareroot_glcm_SumEntropy,0.873927301401125,<,3.976073744482372,0.8073919833420093,0.8071127185051236,mann-whitney U-test,0.0
squareroot_glcm_MCC,0.8921407030382444,<,0.6214904211584741,0.8276939094221759,0.8282097649186257,mann-whitney U-test,0.0
logarithm_glszm_ZoneEntropy,0.8831650056684486,<,5.785225673025004,0.8172826652785008,0.8179626280892104,mann-whitney U-test,0.0
logarithm_glrlm_RunEntropy,0.8680941178980833,<,4.349176888377363,0.8136387298282145,0.812537673297167,mann-whitney U-test,0.0
squareroot_glrlm_RunEntropy,0.8797871562649928,<,4.219541117676741,0.8183237896928683,0.8179626280892104,mann-whitney U-test,0.0
logarithm_glcm_SumSquares,0.8661441276409746,<,32.66411497971884,0.8016657990629881,0.8022905364677517,mann-whitney U-test,0.0
logarithm_glcm_MCC,0.8829213549427836,<,0.6241769109080262,0.8245705361790734,0.8239903556359253,mann-whitney U-test,0.0
logarithm_ngtdm_Contrast,0.8675777917305602,<,0.0800905489340979,0.8011452368558043,0.8010849909584087,mann-whitney U-test,0.0
squareroot_glcm_Imc2,0.9058990460752465,<,0.7014579688630846,0.842790213430505,0.8426763110307414,mann-whitney U-test,0.0
squareroot_glcm_Imc1,0.8747312075944974,>,-0.1363624047855806,0.8155515370705244,0.8152004164497657,mann-whitney U-test,0.0
original_firstorder_90Percentile,0.8828938991301685,<,-16.407744033834636,0.8084331077563769,0.8065099457504521,mann-whitney U-test,0.0
original_firstorder_Entropy,0.8755856324830817,<,2.509221653236964,0.818844351900052,0.8173598553345389,mann-whitney U-test,0.0
squareroot_glcm_ClusterShade,0.8705776922620734,<,448.8188252962666,0.8058302967204581,0.8040988547317661,mann-whitney U-test,0.0
squareroot_glcm_ClusterTendency,0.8829579103961513,<,33.71258853393539,0.8162415408641333,0.814948764315853,mann-whitney U-test,0.0
squareroot_glcm_ClusterProminence,0.8652409098511142,<,12086.651038563246,0.799583550234253,0.7992766726943942,mann-whitney U-test,0.0
squareroot_glcm_SumSquares,0.8770462817142091,<,11.331806660708502,0.8115564809994794,0.8119349005424955,mann-whitney U-test,0.0
logarithm_glcm_Correlation,0.9096052669975797,<,0.4883854074250576,0.8433107756376887,0.8432790837854129,mann-whitney U-test,0.0
wavelet2-LL_glcm_SumEntropy,0.8773515903504898,<,5.436756580161164,0.812597605413847,0.812537673297167,mann-whitney U-test,0.0
