Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,0.9876308065339459,0.9421550094517959,0.9546271373976913,0.7788820317368692,0.778732318120837,0.8892005610098177,0.8893555252601536,0.8893557422969187,0.8980169971671388,0.8808864265927978,0.8805555555555555,0.8983050847457628,0.8894517118799683,"[0.8983050847457628, 0.8805555555555555]","[0.8808864265927978, 0.8980169971671388]","[0.8895104895104895, 0.8892005610098177]","[0.8808864265927978, 0.8980169971671388]"
Gradient Boosting,2,1,0.9876556070883422,0.9412628487518355,0.9356757614213198,0.7209173170360259,0.7189905700477008,0.8498498498498499,0.8593081270246625,0.8599439775910365,0.884375,0.8401015228426396,0.8179190751445087,0.8994565217391305,0.8622382614213198,"[0.8994565217391305, 0.8179190751445087]","[0.8401015228426396, 0.884375]","[0.868766404199475, 0.8498498498498499]","[0.8401015228426396, 0.884375]"
Gradient Boosting,3,1,0.98686983527003,0.9369842460615154,0.9476457833191357,0.745178365113797,0.7442448518779143,0.8715083798882681,0.8720422785867934,0.8720445062586927,0.8939828080229226,0.8513513513513513,0.8501362397820164,0.8948863636363636,0.872667079687137,"[0.8948863636363636, 0.8501362397820164]","[0.8513513513513513, 0.8939828080229226]","[0.8725761772853186, 0.8715083798882681]","[0.8513513513513513, 0.8939828080229226]"
Gradient Boosting,4,1,0.9866413409571553,0.9402390438247012,0.9405855636529082,0.7231141064912958,0.7229695865585795,0.8396694214876033,0.8614712931746079,0.8649025069637883,0.8494983277591973,0.8758949880668258,0.8300653594771242,0.8907766990291263,0.8626966579130115,"[0.8907766990291263, 0.8300653594771242]","[0.8758949880668258, 0.8494983277591973]","[0.8832731648616126, 0.8396694214876033]","[0.8758949880668258, 0.8494983277591973]"
Gradient Boosting,5,1,0.9869211187944446,0.9354120267260579,0.9429080407452168,0.7721792121319947,0.7707168276563294,0.8825214899713467,0.8852498160239247,0.8853146853146853,0.9112426035502958,0.8620689655172413,0.8555555555555555,0.9154929577464789,0.8866557845337686,"[0.9154929577464789, 0.8555555555555555]","[0.8620689655172413, 0.9112426035502958]","[0.8879781420765027, 0.8825214899713467]","[0.8620689655172413, 0.9112426035502958]"
Gradient Boosting,6,2,0.9881039170870114,0.9403616775682955,0.9424093254046391,0.7469381325562163,0.7469381325562163,0.8812664907651715,0.8734690662781082,0.8739495798319328,0.8812664907651715,0.8656716417910447,0.8812664907651715,0.8656716417910447,0.8734690662781082,"[0.8656716417910447, 0.8812664907651715]","[0.8656716417910447, 0.8812664907651715]","[0.8656716417910447, 0.8812664907651715]","[0.8656716417910447, 0.8812664907651715]"
Gradient Boosting,7,2,0.9871537253362128,0.943312337902927,0.9370641398505175,0.7096301988195921,0.7073077116925713,0.8444444444444444,0.853414882772681,0.8539638386648123,0.8823529411764706,0.8308080808080808,0.8096590909090909,0.896457765667575,0.8565805109922757,"[0.896457765667575, 0.8096590909090909]","[0.8308080808080808, 0.8823529411764706]","[0.8623853211009175, 0.8444444444444444]","[0.8308080808080808, 0.8823529411764706]"
Gradient Boosting,8,2,0.9882987409852096,0.9411764705882353,0.9523092129386069,0.7867746840076436,0.7852530409971468,0.88125,0.8925237341772152,0.8937062937062937,0.912621359223301,0.8793103448275862,0.851963746223565,0.9296875,0.8959658520254437,"[0.9296875, 0.851963746223565]","[0.8793103448275862, 0.912621359223301]","[0.9037974683544304, 0.88125]","[0.8793103448275862, 0.912621359223301]"
Gradient Boosting,9,2,0.9876838094063632,0.9346069066862601,0.9397294605021821,0.7418229917141693,0.7393690093965632,0.8634361233480177,0.8694690656900731,0.8697478991596639,0.901840490797546,0.8427835051546392,0.828169014084507,0.9108635097493036,0.8723119979760926,"[0.9108635097493036, 0.828169014084507]","[0.8427835051546392, 0.901840490797546]","[0.8755020080321285, 0.8634361233480177]","[0.8427835051546392, 0.901840490797546]"
Gradient Boosting,10,2,0.9870971222580527,0.9388662467580585,0.9476519856954638,0.7532566313529057,0.7529597597785459,0.8654434250764526,0.8764557278834948,0.8774373259052924,0.8788819875776398,0.8762626262626263,0.8524096385542169,0.8989637305699482,0.8775723069201331,"[0.8989637305699482, 0.8524096385542169]","[0.8762626262626263, 0.8788819875776398]","[0.887468030690537, 0.8654434250764526]","[0.8762626262626263, 0.8788819875776398]"
Gradient Boosting,11,3,0.9882625115820832,0.9406158357771262,0.9492152904661981,0.7327626444645706,0.7314705579616624,0.8522550544323484,0.8656179730760468,0.8669467787114846,0.8810289389067524,0.8560794044665012,0.8253012048192772,0.9031413612565445,0.8685541716866267,"[0.9031413612565445, 0.8253012048192772]","[0.8560794044665012, 0.8810289389067524]","[0.8789808917197452, 0.8522550544323484]","[0.8560794044665012, 0.8810289389067524]"
Gradient Boosting,12,3,0.9858273540797247,0.9379671150971599,0.9502688804226832,0.7650129671544748,0.764821050982849,0.8786127167630058,0.8823957892758119,0.8825174825174825,0.8888888888888888,0.8766756032171582,0.8685714285714285,0.8958904109589041,0.8827822460530235,"[0.8958904109589041, 0.8685714285714285]","[0.8766756032171582, 0.8888888888888888]","[0.8861788617886179, 0.8786127167630058]","[0.8766756032171582, 0.8888888888888888]"
Gradient Boosting,13,3,0.9873265192492809,0.9433681073025335,0.9474155538098978,0.7585694750705548,0.7577989601386482,0.8685015290519877,0.8788383933919732,0.8797202797202798,0.8477611940298507,0.9078947368421053,0.890282131661442,0.8712121212121212,0.877827965435978,"[0.8712121212121212, 0.890282131661442]","[0.9078947368421053, 0.8477611940298507]","[0.8891752577319587, 0.8685015290519877]","[0.9078947368421053, 0.8477611940298507]"
