,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
original_glcm_Imc2,0.948050201703272,<,0.6561232305115349,0.8845360824742268,0.8826086956521739,mann-whitney U-test,1.3107144857601849e-83
original_glcm_Correlation,0.9460600627521292,<,0.564444689730925,0.8886597938144329,0.8869565217391304,mann-whitney U-test,6.947130612917551e-83
squareroot_glcm_Imc2,0.9453877185118781,<,0.6919599901277048,0.8824742268041237,0.8869565217391304,mann-whitney U-test,1.2183602266284171e-82
squareroot_glcm_Correlation,0.9417122366651725,<,0.5448513378197409,0.8721649484536083,0.8695652173913043,mann-whitney U-test,2.5882696256018677e-81
original_glcm_Imc1,0.9411474675033616,>,-0.1449395691273789,0.8782608695652174,0.8742268041237113,mann-whitney U-test,4.130291771632144e-81
logarithm_glcm_Imc1,0.9405020170327207,>,-0.1414331545403937,0.8695652173913043,0.8680412371134021,mann-whitney U-test,7.0409551420999395e-81
logarithm_glcm_Imc2,0.9374271627073062,<,0.7166544800642904,0.865979381443299,0.8652173913043478,mann-whitney U-test,8.84217435569172e-80
squareroot_glcm_Imc1,0.9372299417301658,>,-0.1336039240597487,0.8521739130434782,0.8536082474226804,mann-whitney U-test,1.0394005851261089e-79
logarithm_glcm_Correlation,0.9359211116091439,<,0.4870478292400951,0.8680412371134021,0.8652173913043478,mann-whitney U-test,3.034004031195695e-79
original_glcm_MCC,0.9284087852980727,<,0.5965959764546819,0.8742268041237113,0.8739130434782609,mann-whitney U-test,1.3350574535622648e-76
wavelet2-LL_glcm_Imc2,0.9282115643209322,<,0.8087058487421865,0.8577319587628865,0.8521739130434782,mann-whitney U-test,1.564169351846078e-76
wavelet2-LL_glcm_Correlation,0.9276019722097715,<,0.6272262407021206,0.865979381443299,0.8695652173913043,mann-whitney U-test,2.5508751448448864e-76
squareroot_glszm_ZoneEntropy,0.9273688928731512,<,5.695082756420667,0.8474226804123711,0.8478260869565217,mann-whitney U-test,3.074847180202214e-76
squareroot_firstorder_Kurtosis,0.9255849394890183,>,9.938627037983478,0.8347826086956521,0.8371134020618557,mann-whitney U-test,1.2804324420139817e-75
log-sigma-2-mm-3D_firstorder_10Percentile,0.9254773644105783,>,1.3079795122146622,0.8608695652173913,0.8597938144329897,mann-whitney U-test,1.3951891277078246e-75
squareroot_glcm_MCC,0.9239623487225459,<,0.6073666385118561,0.865979381443299,0.8695652173913043,mann-whitney U-test,4.662449920041191e-75
original_glrlm_RunEntropy,0.9230569251456746,<,3.84519932729169,0.8577319587628865,0.8565217391304347,mann-whitney U-test,9.56919834351963e-75
original_glcm_ClusterTendency,0.9228059166293142,<,8.063313589293728,0.8721649484536083,0.8739130434782609,mann-whitney U-test,1.1676846474931214e-74
logarithm_glszm_ZoneEntropy,0.9217122366651727,<,5.827800603653645,0.8556701030927835,0.8521739130434782,mann-whitney U-test,2.7759097797384507e-74
original_glcm_SumSquares,0.9167099955177052,<,2.610723313364,0.8680412371134021,0.8695652173913043,mann-whitney U-test,1.416333197554441e-72
logarithm_firstorder_Kurtosis,0.9164410578216047,>,17.376809246717855,0.8217391304347826,0.822680412371134,mann-whitney U-test,1.747457865870635e-72
exponential_firstorder_RobustMeanAbsoluteDeviation,0.9161362617660243,<,0.0833933569611972,0.845360824742268,0.8391304347826087,mann-whitney U-test,2.2168827170503973e-72
original_glcm_SumEntropy,0.9156969968623935,<,3.3347466893263427,0.8536082474226804,0.8521739130434782,mann-whitney U-test,3.122740184681457e-72
original_ngtdm_Contrast,0.9155356342447334,<,0.0328241373596927,0.8474226804123711,0.8521739130434782,mann-whitney U-test,3.5412397293522045e-72
logarithm_firstorder_Skewness,0.9151860152398028,>,3.571237488007618,0.8347826086956521,0.8329896907216495,mann-whitney U-test,4.649703081238563e-72
original_firstorder_RobustMeanAbsoluteDeviation,0.9150067234424024,<,10.904994976738534,0.8556701030927835,0.8565217391304347,mann-whitney U-test,5.346112178755273e-72
logarithm_glcm_MCC,0.9148184670551323,<,0.6108951445255033,0.8577319587628865,0.8565217391304347,mann-whitney U-test,6.189471275346815e-72
original_firstorder_MeanAbsoluteDeviation,0.912604213357239,<,15.64429997818768,0.8556701030927835,0.8565217391304347,mann-whitney U-test,3.44936995166139e-71
