Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,1.0,1.0,0.933219954648526,0.6692300827510854,0.6677509293680297,0.7674418604651163,0.8337209302325581,0.8601398601398601,0.7333333333333333,0.9183673469387755,0.8048780487804879,0.8823529411764706,0.8258503401360544,"[0.8823529411764706, 0.8048780487804879]","[0.9183673469387755, 0.7333333333333333]","[0.9, 0.7674418604651163]","[0.9183673469387755, 0.7333333333333333]"
Gradient Boosting,2,1,1.0,0.9943820224719101,0.9622762148337595,0.7421543931988103,0.7420689655172414,0.8349514563106796,0.8710276407236458,0.8811188811188811,0.8431372549019608,0.9021739130434783,0.8269230769230769,0.9120879120879121,0.8726555839727195,"[0.9120879120879121, 0.8269230769230769]","[0.9021739130434783, 0.8431372549019608]","[0.907103825136612, 0.8349514563106796]","[0.9021739130434783, 0.8431372549019608]"
Gradient Boosting,3,1,1.0,0.9972451790633609,0.9359649122807018,0.7661017269317442,0.7660085087814988,0.845360824742268,0.8829978726885943,0.8951048951048951,0.8541666666666666,0.9157894736842105,0.8367346938775511,0.925531914893617,0.8849780701754386,"[0.925531914893617, 0.8367346938775511]","[0.9157894736842105, 0.8541666666666666]","[0.9206349206349206, 0.845360824742268]","[0.9157894736842105, 0.8541666666666666]"
Gradient Boosting,4,1,1.0,0.997229916897507,0.9696048632218845,0.8493193549734291,0.8477427597955707,0.9019607843137255,0.9238064791133844,0.9300699300699301,0.9387755102040817,0.925531914893617,0.8679245283018868,0.9666666666666667,0.9321537125488493,"[0.9666666666666667, 0.8679245283018868]","[0.925531914893617, 0.9387755102040817]","[0.9456521739130435, 0.9019607843137255]","[0.925531914893617, 0.9387755102040817]"
Gradient Boosting,5,1,1.0,0.9974025974025974,0.9492605813360531,0.6920477342856424,0.6883022523613466,0.775,0.8438106796116505,0.8741258741258742,0.8378378378378378,0.8867924528301887,0.7209302325581395,0.94,0.8623151453340132,"[0.94, 0.7209302325581395]","[0.8867924528301887, 0.8378378378378378]","[0.912621359223301, 0.775]","[0.8867924528301887, 0.8378378378378378]"
Gradient Boosting,6,2,1.0,0.9973753280839895,0.9524161735700197,0.6826923076923077,0.6826923076923077,0.7692307692307693,0.8413461538461539,0.8741258741258742,0.7692307692307693,0.9134615384615384,0.7692307692307693,0.9134615384615384,0.8413461538461539,"[0.9134615384615384, 0.7692307692307693]","[0.9134615384615384, 0.7692307692307693]","[0.9134615384615384, 0.7692307692307693]","[0.9134615384615384, 0.7692307692307693]"
Gradient Boosting,7,2,1.0,1.0,0.9231494578029231,0.6813746269230986,0.6711923792839154,0.7789473684210526,0.8344998622209976,0.8531468531468531,0.8809523809523809,0.8415841584158416,0.6981132075471698,0.9444444444444444,0.8612682696841112,"[0.9444444444444444, 0.6981132075471698]","[0.8415841584158416, 0.8809523809523809]","[0.8900523560209425, 0.7789473684210526]","[0.8415841584158416, 0.8809523809523809]"
Gradient Boosting,8,2,1.0,0.9943820224719101,0.9697357203751066,0.7692092899555603,0.768383543893748,0.8484848484848485,0.8841354723707665,0.8951048951048951,0.8235294117647058,0.9347826086956522,0.875,0.9052631578947369,0.879156010230179,"[0.9052631578947369, 0.875]","[0.9347826086956522, 0.8235294117647058]","[0.9197860962566845, 0.8484848484848485]","[0.9347826086956522, 0.8235294117647058]"
Gradient Boosting,9,2,1.0,0.9970674486803519,0.9457223567393058,0.6963406643499556,0.696267826438758,0.8205128205128205,0.8481262327416174,0.8531468531468531,0.8135593220338984,0.8809523809523809,0.8275862068965517,0.8705882352941177,0.8472558514931396,"[0.8705882352941177, 0.8275862068965517]","[0.8809523809523809, 0.8135593220338984]","[0.8757396449704142, 0.8205128205128205]","[0.8809523809523809, 0.8135593220338984]"
Gradient Boosting,10,2,1.0,1.0,0.9672090729783037,0.7346373172568037,0.7308868501529051,0.8095238095238095,0.8651579443658652,0.8881118881118881,0.8717948717948718,0.8942307692307693,0.7555555555555555,0.9489795918367347,0.8830128205128205,"[0.9489795918367347, 0.7555555555555555]","[0.8942307692307693, 0.8717948717948718]","[0.9207920792079208, 0.8095238095238095]","[0.8942307692307693, 0.8717948717948718]"
