Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,0.9999861434430772,0.9987129987129987,0.9452332657200812,0.7078696188396221,0.7050938337801609,0.8863636363636364,0.8522727272727273,0.8601398601398601,0.9176470588235294,0.7758620689655172,0.8571428571428571,0.8653846153846154,0.8467545638945233,"[0.8653846153846154, 0.8571428571428571]","[0.7758620689655172, 0.9176470588235294]","[0.8181818181818182, 0.8863636363636364]","[0.7758620689655172, 0.9176470588235294]"
Gradient Boosting,2,1,1.0,1.0,0.9396797543320904,0.7263492713963312,0.7239512855209742,0.914572864321608,0.8617808141832759,0.8819444444444444,0.9381443298969072,0.7659574468085106,0.8921568627450981,0.8571428571428571,0.8520508883527089,"[0.8571428571428571, 0.8921568627450981]","[0.7659574468085106, 0.9381443298969072]","[0.8089887640449438, 0.914572864321608]","[0.7659574468085106, 0.9381443298969072]"
Gradient Boosting,3,1,1.0,0.9986893840104849,0.9407502131287299,0.6647485080988917,0.6647485080988917,0.8804347826086957,0.8323742540494459,0.8461538461538461,0.8804347826086957,0.7843137254901961,0.8804347826086957,0.7843137254901961,0.8323742540494459,"[0.7843137254901961, 0.8804347826086957]","[0.7843137254901961, 0.8804347826086957]","[0.7843137254901961, 0.8804347826086957]","[0.7843137254901961, 0.8804347826086957]"
Gradient Boosting,4,1,1.0,0.99867197875166,0.9157801418439716,0.6404116905208371,0.6313569252402156,0.8910891089108911,0.8145921735030646,0.8461538461538461,0.9375,0.6595744680851063,0.8490566037735849,0.8378378378378378,0.7985372340425532,"[0.8378378378378378, 0.8490566037735849]","[0.6595744680851063, 0.9375]","[0.7380952380952381, 0.8910891089108911]","[0.6595744680851063, 0.9375]"
Gradient Boosting,5,1,1.0,1.0,0.9772673454889889,0.8175211946543804,0.8164967562557924,0.9458128078817734,0.9082005215879455,0.9236111111111112,0.9320388349514563,0.9024390243902439,0.96,0.8409090909090909,0.9172389296708501,"[0.8409090909090909, 0.96]","[0.9024390243902439, 0.9320388349514563]","[0.8705882352941177, 0.9458128078817734]","[0.9024390243902439, 0.9320388349514563]"
Gradient Boosting,6,2,1.0,1.0,0.942570281124498,0.7259890190689596,0.7253058335860885,0.8875739644970414,0.8625904010519395,0.8671328671328671,0.9036144578313253,0.8166666666666667,0.872093023255814,0.8596491228070176,0.8601405622489959,"[0.8596491228070176, 0.872093023255814]","[0.8166666666666667, 0.9036144578313253]","[0.8376068376068376, 0.8875739644970414]","[0.8166666666666667, 0.9036144578313253]"
Gradient Boosting,7,2,1.0,1.0,0.9178451178451178,0.6841160760081142,0.6793248945147679,0.9073170731707317,0.8392007052600647,0.8680555555555556,0.9393939393939394,0.7111111111111111,0.8773584905660378,0.8421052631578947,0.8252525252525253,"[0.8421052631578947, 0.8773584905660378]","[0.7111111111111111, 0.9393939393939394]","[0.7710843373493976, 0.9073170731707317]","[0.7111111111111111, 0.9393939393939394]"
Gradient Boosting,8,2,0.999827768945416,0.9973045822102425,0.9478155339805826,0.7417696615086021,0.7416596410935806,0.926829268292683,0.8708220415537489,0.8951048951048951,0.9223300970873787,0.825,0.9313725490196079,0.8048780487804879,0.8736650485436893,"[0.8048780487804879, 0.9313725490196079]","[0.825, 0.9223300970873787]","[0.8148148148148148, 0.926829268292683]","[0.825, 0.9223300970873787]"
Gradient Boosting,9,2,0.9999729334704704,0.9986754966887417,0.94140625,0.7016572367075566,0.7015706806282722,0.9015544041450777,0.8507772020725388,0.8680555555555556,0.90625,0.7916666666666666,0.8969072164948454,0.8085106382978723,0.8489583333333333,"[0.8085106382978723, 0.8969072164948454]","[0.7916666666666666, 0.90625]","[0.8, 0.9015544041450777]","[0.7916666666666666, 0.90625]"
Gradient Boosting,10,2,0.9999592019909428,0.9986893840104849,0.9465046888320545,0.7533852702117513,0.7473498233215548,0.9166666666666666,0.87322695035461,0.8881118881118881,0.9565217391304348,0.7647058823529411,0.88,0.9069767441860465,0.860613810741688,"[0.9069767441860465, 0.88]","[0.7647058823529411, 0.9565217391304348]","[0.8297872340425532, 0.9166666666666666]","[0.7647058823529411, 0.9565217391304348]"
Gradient Boosting,11,3,1.0,0.9986859395532195,0.9150326797385621,0.6090532869435077,0.6087774294670847,0.8586956521739131,0.8043478260869565,0.8194444444444444,0.8494623655913979,0.7647058823529411,0.8681318681318682,0.7358490566037735,0.8070841239721696,"[0.7358490566037735, 0.8681318681318682]","[0.7647058823529411, 0.8494623655913979]","[0.75, 0.8586956521739131]","[0.7647058823529411, 0.8494623655913979]"
Gradient Boosting,12,3,1.0,0.998661311914324,0.944186046511628,0.6757440382612874,0.6732411304870716,0.9073170731707317,0.8363745859680819,0.8671328671328671,0.93,0.7209302325581395,0.8857142857142857,0.8157894736842105,0.8254651162790698,"[0.8157894736842105, 0.8857142857142857]","[0.7209302325581395, 0.93]","[0.7654320987654321, 0.9073170731707317]","[0.7209302325581395, 0.93]"
Gradient Boosting,13,3,1.0,0.9986928104575163,0.9420963651732882,0.7089848901549912,0.7068723702664796,0.8983957219251337,0.8532382650029708,0.8671328671328671,0.9230769230769231,0.7692307692307693,0.875,0.851063829787234,0.8461538461538463,"[0.851063829787234, 0.875]","[0.7692307692307693, 0.9230769230769231]","[0.8080808080808081, 0.8983957219251337]","[0.7692307692307693, 0.9230769230769231]"
Gradient Boosting,14,3,1.0,0.9973474801061007,0.929370475981575,0.6314199082389222,0.6306868867082962,0.883248730964467,0.8152507391086071,0.8402777777777778,0.8969072164948454,0.723404255319149,0.87,0.7727272727272727,0.8101557359069972,"[0.7727272727272727, 0.87]","[0.723404255319149, 0.8969072164948454]","[0.7472527472527473, 0.883248730964467]","[0.723404255319149, 0.8969072164948454]"
Gradient Boosting,15,3,1.0,0.9973821989528796,0.9661125319693094,0.8028510350217613,0.8027586206896552,0.9289617486338798,0.901374078200435,0.9090909090909091,0.9239130434782609,0.8823529411764706,0.9340659340659341,0.8653846153846154,0.9031329923273657,"[0.8653846153846154, 0.9340659340659341]","[0.8823529411764706, 0.9239130434782609]","[0.8737864077669902, 0.9289617486338798]","[0.8823529411764706, 0.9239130434782609]"
