ID,image_width,image_height,image_depth
s_10223,512,512,12
s_10095,512,512,12
s_10087,512,512,12
s_10168,512,512,12
s_10067,512,512,14
s_10094,512,512,12
s_10232,512,512,12
s_10201,512,512,12
s_10124,512,512,12
s_10178,512,512,12
s_10057,512,512,12
s_10214,640,640,12
s_10219,512,512,12
s_10085,512,512,12
s_10146,512,512,12
s_10119,512,512,12
s_10080,512,512,12
s_10193,512,512,12
s_10189,512,512,12
s_10142,640,640,14
s_10155,512,512,12
s_10070,640,640,12
s_10159,512,512,12
s_10082,512,512,12
s_10173,512,512,12
s_10137,512,512,12
s_10233,512,512,12
s_10059,512,512,12
s_10194,512,512,12
s_10125,640,640,12
s_10143,512,512,12
s_10154,512,512,12
s_10192,512,512,12
s_10149,640,640,14
s_10055,512,512,12
s_10238,512,512,12
s_10162,512,512,12
s_10157,512,512,11
s_10050,512,512,12
s_10200,512,512,12
s_10199,640,640,12
s_10167,512,512,12
s_10226,512,512,12
s_10236,512,512,12
s_10175,512,512,12
s_10083,512,512,12
s_10130,512,512,12
s_10165,512,512,12
s_10115,512,512,12
s_10122,512,512,12
s_10048,512,512,12
s_10171,512,512,12
s_10118,640,640,12
s_10104,512,512,12
s_10190,512,512,12
s_10139,512,512,12
s_10145,512,512,12
s_10105,512,512,12
s_10063,512,512,12
s_10077,512,512,12
s_10078,512,512,12
s_10132,512,512,12
s_10073,512,512,12
s_10112,512,512,14
s_10076,640,640,12
s_10212,640,640,12
s_10134,512,512,12
s_10150,512,512,12
s_10230,512,512,12
s_10058,512,512,12
s_10217,512,512,12
s_10107,512,512,12
s_10049,512,512,12
s_10135,512,512,12
s_10215,640,640,12
s_10220,640,640,16
s_10174,512,512,12
s_10177,512,512,12
s_10090,512,512,12
s_10108,512,512,12
s_10099,512,512,12
s_10102,512,512,12
s_10100,512,512,12
s_10074,640,640,12
s_10234,512,512,12
s_10204,640,640,12
s_10123,512,512,12
s_10213,512,512,12
s_10179,512,512,14
s_10186,512,512,12
s_10231,512,512,12
s_10138,512,512,12
s_10109,512,512,12
s_10229,512,512,12
s_10126,512,512,12
s_10172,512,512,12
s_10207,512,512,12
