,Test,p-value
log-sigma-0-6-mm-3D_firstorder_10Percentile,Kruskal-Wallis,1.8334158539376937e-72
original_glcm_ClusterTendency,Kruskal-Wallis,3.937498493586172e-72
original_glcm_Imc2,Kruskal-Wallis,3.9376398673435033e-72
squareroot_glcm_Imc2,Kruskal-Wallis,9.58750187505802e-72
original_ngtdm_Contrast,Kruskal-Wallis,5.471294441668448e-71
exponential_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,7.881736599026923e-71
original_glcm_SumSquares,Kruskal-Wallis,2.732345450009089e-70
squareroot_firstorder_90Percentile,Kruskal-Wallis,4.695046414796785e-70
exponential_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,7.591665132345167e-70
squareroot_firstorder_Kurtosis,Kruskal-Wallis,1.3322698708683973e-69
original_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,1.6823588490714547e-69
logarithm_glcm_Imc2,Kruskal-Wallis,1.8424043255178097e-69
original_glcm_SumEntropy,Kruskal-Wallis,5.20069182832482e-69
original_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,5.438016282675965e-69
logarithm_firstorder_90Percentile,Kruskal-Wallis,2.1745716297104484e-68
original_firstorder_90Percentile,Kruskal-Wallis,2.9902034406034035e-68
original_glrlm_RunEntropy,Kruskal-Wallis,3.686127408612567e-68
original_glcm_Correlation,Kruskal-Wallis,7.771335195902777e-68
log-sigma-2-mm-3D_firstorder_10Percentile,Kruskal-Wallis,8.27912087722519e-68
original_gldm_GrayLevelVariance,Kruskal-Wallis,7.687551519905895e-67
squareroot_glcm_Idmn,Kruskal-Wallis,7.795304118048609e-67
original_firstorder_Variance,Kruskal-Wallis,1.0291156720051879e-66
logarithm_firstorder_Kurtosis,Kruskal-Wallis,1.618560198087647e-66
original_firstorder_InterquartileRange,Kruskal-Wallis,1.7007822401049922e-66
exponential_firstorder_InterquartileRange,Kruskal-Wallis,2.0111822000686187e-66
logarithm_firstorder_RootMeanSquared,Kruskal-Wallis,2.561773378578105e-66
original_glcm_ClusterShade,Kruskal-Wallis,2.627061670299306e-66
squareroot_ngtdm_Contrast,Kruskal-Wallis,5.968946016008801e-66
logarithm_glcm_Imc1,Kruskal-Wallis,8.826285473327161e-66
squareroot_glcm_Correlation,Kruskal-Wallis,9.322004913361933e-66
original_glcm_ClusterProminence,Kruskal-Wallis,1.0638478773848988e-65
wavelet2-LL_glcm_Imc2,Kruskal-Wallis,1.1691531303473772e-65
logarithm_glcm_Correlation,Kruskal-Wallis,1.7180593070969105e-65
logarithm_firstorder_Skewness,Kruskal-Wallis,2.1276503168031162e-65
logarithm_glcm_Idmn,Kruskal-Wallis,2.1640744220132867e-65
squareroot_firstorder_RootMeanSquared,Kruskal-Wallis,2.499896614546044e-65
wavelet2-HL_firstorder_10Percentile,Kruskal-Wallis,2.6100177483795656e-65
exponential_firstorder_90Percentile,Kruskal-Wallis,2.7357043393743695e-65
original_glcm_MCC,Kruskal-Wallis,9.961739449544798e-65
squareroot_glcm_MCC,Kruskal-Wallis,1.1926370281721113e-64
original_glrlm_GrayLevelVariance,Kruskal-Wallis,1.937175996961014e-64
original_glcm_JointEntropy,Kruskal-Wallis,2.0373947270711453e-64
squareroot_glcm_ClusterTendency,Kruskal-Wallis,3.082029435508184e-64
wavelet-HL_firstorder_10Percentile,Kruskal-Wallis,6.036818582509272e-64
squareroot_glcm_Idn,Kruskal-Wallis,7.870162588752699e-64
squareroot_glcm_Imc1,Kruskal-Wallis,7.990942847289716e-64
squareroot_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,1.5409202951401933e-63
wavelet2-LL_glcm_SumEntropy,Kruskal-Wallis,1.8640765584164328e-63
