Classifier,Fold,Repeat,train_auc,train_f1_macro,val_auc,val_mcc,val_kappa,val_f1_macro,val_accuracy,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,1.0,1.0,0.872354692009518,0.5072548580668498,0.5008857737040746,0.529815751235106,0.6875,0.5082765223610293,"[0.3333333333333333, 0.5, 0.6052631578947368, 0.7261904761904762, 0.8]","[0.3333333333333333, 0.18181818181818182, 0.6216216216216216, 0.8591549295774648, 0.5454545454545454]","[0.3333333333333333, 0.26666666666666666, 0.6133333333333333, 0.7870967741935484, 0.6486486486486487]","[0.3333333333333333, 0.18181818181818182, 0.6216216216216216, 0.8591549295774648, 0.5454545454545454]"
Gradient Boosting,2,1,1.0,1.0,0.8926100918007898,0.5699859210800577,0.5693436293436294,0.544654904281342,0.7272727272727273,0.5261616161616162,"[0.5, 0.2, 0.6744186046511628, 0.7972972972972973, 0.7368421052631579]","[0.25, 0.2, 0.725, 0.8194444444444444, 0.6363636363636364]","[0.3333333333333333, 0.2, 0.6987951807228916, 0.8082191780821918, 0.6829268292682927]","[0.25, 0.2, 0.725, 0.8194444444444444, 0.6363636363636364]"
Gradient Boosting,3,1,1.0,1.0,0.8986517509725577,0.5509688070138574,0.5479352813330114,0.5115829355156476,0.7291666666666666,0.4986731946144431,"[0.0, 0.4, 0.725, 0.75, 0.7857142857142857]","[0.0, 0.4, 0.6744186046511628, 0.84, 0.5789473684210527]","[0.0, 0.4, 0.6987951807228916, 0.7924528301886793, 0.6666666666666666]","[0.0, 0.4, 0.6744186046511628, 0.84, 0.5789473684210527]"
Gradient Boosting,4,1,1.0,1.0,,0.5987576036182111,0.5962464706859325,0.5963607594936708,0.7622377622377622,0.5808407282741739,"[0.0, 0.5, 0.7333333333333333, 0.8048780487804879, 0.6428571428571429]","[0.0, 0.125, 0.7674418604651163, 0.868421052631579, 0.5625]","[0.0, 0.2, 0.75, 0.8354430379746836, 0.6]","[nan, 0.125, 0.7674418604651163, 0.868421052631579, 0.5625]"
Gradient Boosting,5,1,1.0,1.0,0.9284232492915697,0.5847247284586855,0.583161865569273,0.4970855198316507,0.7622377622377622,0.5083868586194168,"[0.0, 0.4, 0.6470588235294118, 0.8620689655172413, 0.5882352941176471]","[0.0, 0.2222222222222222, 0.7333333333333333, 0.872093023255814, 0.7142857142857143]","[0.0, 0.2857142857142857, 0.6875, 0.8670520231213873, 0.6451612903225806]","[0.0, 0.2222222222222222, 0.7333333333333333, 0.872093023255814, 0.7142857142857143]"
Gradient Boosting,6,2,1.0,1.0,0.908120152293647,0.5753424748882046,0.5725702108227415,0.5439402606069272,0.7291666666666666,0.5377633477633477,"[0.5, 0.25, 0.6222222222222222, 0.8450704225352113, 0.6818181818181818]","[0.2, 0.25, 0.7777777777777778, 0.7792207792207793, 0.6818181818181818]","[0.2857142857142857, 0.25, 0.691358024691358, 0.8108108108108109, 0.6818181818181818]","[0.2, 0.25, 0.7777777777777778, 0.7792207792207793, 0.6818181818181818]"
Gradient Boosting,7,2,1.0,1.0,0.8813712871992742,0.5630810306578319,0.5609128630705394,0.47546605293440736,0.7412587412587412,0.46597326649958226,"[0.0, 1.0, 0.7209302325581395, 0.7926829268292683, 0.5625]","[0.0, 0.14285714285714285, 0.6888888888888889, 0.8552631578947368, 0.6428571428571429]","[0.0, 0.25, 0.7045454545454546, 0.8227848101265823, 0.6]","[0.0, 0.14285714285714285, 0.6888888888888889, 0.8552631578947368, 0.6428571428571429]"
Gradient Boosting,8,2,1.0,1.0,0.8562860784542886,0.6332793534565043,0.6316387605121601,0.529392436432415,0.7622377622377622,0.5170737222976028,"[0.0, 0.375, 0.7446808510638298, 0.8169014084507042, 0.8125]","[0.0, 0.3333333333333333, 0.7954545454545454, 0.8656716417910447, 0.5909090909090909]","[0.0, 0.35294117647058826, 0.7692307692307693, 0.8405797101449275, 0.6842105263157895]","[0.0, 0.3333333333333333, 0.7954545454545454, 0.8656716417910447, 0.5909090909090909]"
Gradient Boosting,9,2,1.0,1.0,0.8689377447316708,0.5898244324208562,0.5878577623590633,0.4961858762519702,0.7708333333333334,0.48746677740863786,"[0.0, 0.2857142857142857, 0.6666666666666666, 0.8478260869565217, 0.75]","[0.0, 0.2, 0.6875, 0.9069767441860465, 0.6428571428571429]","[0.0, 0.23529411764705882, 0.676923076923077, 0.8764044943820225, 0.6923076923076923]","[0.0, 0.2, 0.6875, 0.9069767441860465, 0.6428571428571429]"
Gradient Boosting,10,2,1.0,1.0,0.899796002657758,0.5697707587906236,0.5640943365955399,0.5050547730829421,0.7342657342657343,0.47981552981552983,"[0.0, 0.5, 0.6285714285714286, 0.7906976744186046, 0.8666666666666667]","[0.0, 0.25, 0.6111111111111112, 0.918918918918919, 0.6190476190476191]","[0.0, 0.3333333333333333, 0.6197183098591549, 0.85, 0.7222222222222222]","[0.0, 0.25, 0.6111111111111112, 0.918918918918919, 0.6190476190476191]"
Gradient Boosting,11,3,1.0,1.0,0.9164963429377522,0.55244756628695,0.5495072735804787,0.586154119408287,0.7222222222222222,0.5673076923076923,"[1.0, 0.0, 0.62, 0.8493150684931506, 0.6428571428571429]","[0.6666666666666666, 0.0, 0.775, 0.7948717948717948, 0.6]","[0.8, 0.0, 0.6888888888888889, 0.8211920529801324, 0.6206896551724138]","[0.6666666666666666, 0.0, 0.775, 0.7948717948717948, 0.6]"
Gradient Boosting,12,3,1.0,1.0,0.9162450181280508,0.6633664445348428,0.6612444725205306,0.6544972949307315,0.7902097902097902,0.6215545869655459,"[0.5, 0.6666666666666666, 0.8055555555555556, 0.8, 0.7727272727272727]","[0.3333333333333333, 0.4, 0.725, 0.8767123287671232, 0.7727272727272727]","[0.4, 0.5, 0.7631578947368421, 0.8366013071895425, 0.7727272727272727]","[0.3333333333333333, 0.4, 0.725, 0.8767123287671232, 0.7727272727272727]"
Gradient Boosting,13,3,1.0,1.0,0.9152335710569849,0.6116251453148126,0.610445205479452,0.5708841100145448,0.7552447552447552,0.5607585825027684,"[0.0, 0.6666666666666666, 0.6938775510204082, 0.8028169014084507, 0.7647058823529411]","[0.0, 0.5714285714285714, 0.7906976744186046, 0.7916666666666666, 0.65]","[0.0, 0.6153846153846154, 0.7391304347826086, 0.7972027972027972, 0.7027027027027027]","[0.0, 0.5714285714285714, 0.7906976744186046, 0.7916666666666666, 0.65]"
Gradient Boosting,14,3,1.0,1.0,0.8453250464206963,0.504235538224553,0.5026861089792787,0.47839214364109817,0.6875,0.46686090225563903,"[0.0, 0.4444444444444444, 0.5609756097560976, 0.8076923076923077, 0.6923076923076923]","[0.0, 0.2857142857142857, 0.6571428571428571, 0.8289473684210527, 0.5625]","[0.0, 0.34782608695652173, 0.6052631578947368, 0.8181818181818182, 0.6206896551724138]","[0.0, 0.2857142857142857, 0.6571428571428571, 0.8289473684210527, 0.5625]"
Gradient Boosting,15,3,1.0,1.0,0.9055452794608693,0.6350653098687847,0.6279916753381893,0.5094013153850881,0.7902097902097902,0.49375661375661384,"[0.0, 0.25, 0.8387096774193549, 0.8064516129032258, 0.7857142857142857]","[0.0, 0.25, 0.7428571428571429, 0.9259259259259259, 0.55]","[0.0, 0.25, 0.7878787878787878, 0.8620689655172413, 0.6470588235294118]","[0.0, 0.25, 0.7428571428571429, 0.9259259259259259, 0.55]"
