Classifier,Fold,Repeat,train_auc,train_f1_macro,val_auc,val_mcc,val_kappa,val_f1_macro,val_accuracy,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,0.9876620850663838,0.9353638809395111,0.8626918538572734,0.4981329434082605,0.49568312942428094,0.46218598171545155,0.6717241379310345,0.4484578078606895,"[0.0, 0.4861111111111111, 0.6426116838487973, 0.76, 0.5625]","[0.0, 0.32710280373831774, 0.677536231884058, 0.8546712802768166, 0.3829787234042553]","[0.0, 0.39106145251396646, 0.6596119929453262, 0.8045602605863192, 0.45569620253164556]","[0.0, 0.32710280373831774, 0.677536231884058, 0.8546712802768166, 0.3829787234042553]"
Gradient Boosting,2,1,0.9905728452693443,0.940187079432593,0.8827930800321729,0.5368307214500081,0.5338159677638858,0.5343636472859876,0.6900420757363254,0.5264623029231161,"[0.1111111111111111, 0.5555555555555556, 0.599290780141844, 0.8278145695364238, 0.6666666666666666]","[0.09090909090909091, 0.37735849056603776, 0.7253218884120172, 0.7987220447284346, 0.64]","[0.1, 0.449438202247191, 0.6563106796116505, 0.8130081300813008, 0.6530612244897959]","[0.09090909090909091, 0.37735849056603776, 0.7253218884120172, 0.7987220447284346, 0.64]"
Gradient Boosting,3,1,0.9897081406634074,0.9362088932763182,0.88109247192693,0.5014318482190091,0.49753510629007147,0.5150671445666286,0.6690140845070423,0.5189754942758327,"[0.0, 0.5443037974683544, 0.6053511705685619, 0.7740863787375415, 0.6923076923076923]","[0.0, 0.3333333333333333, 0.6753731343283582, 0.8661710037174721, 0.72]","[0.0, 0.41346153846153844, 0.6384479717813051, 0.8175438596491228, 0.7058823529411765]","[0.0, 0.3333333333333333, 0.6753731343283582, 0.8661710037174721, 0.72]"
Gradient Boosting,4,1,0.9901782078709311,0.9411024922354372,0.8878060744656124,0.5678290494402937,0.5662335412852804,0.550837737115321,0.7134831460674157,0.5474178839743841,"[0.3333333333333333, 0.4725274725274725, 0.7517985611510791, 0.7625418060200669, 0.6585365853658537]","[0.05555555555555555, 0.4942528735632184, 0.6989966555183946, 0.8603773584905661, 0.627906976744186]","[0.09523809523809523, 0.48314606741573035, 0.7244367417677643, 0.8085106382978723, 0.6428571428571429]","[0.05555555555555555, 0.4942528735632184, 0.6989966555183946, 0.8603773584905661, 0.627906976744186]"
Gradient Boosting,5,1,0.9903901766971754,0.9414649170745525,0.8597832775421568,0.5191933926901213,0.51798837600269,0.4749583872217876,0.6902777777777778,0.4706696356925052,"[0.0, 0.3559322033898305, 0.6655172413793103, 0.7907692307692308, 0.6046511627906976]","[0.0, 0.2625, 0.7201492537313433, 0.8290322580645161, 0.5416666666666666]","[0.0, 0.302158273381295, 0.6917562724014337, 0.8094488188976378, 0.5714285714285714]","[0.0, 0.2625, 0.7201492537313433, 0.8290322580645161, 0.5416666666666666]"
Gradient Boosting,6,2,0.9886315880240077,0.9279469717050759,0.8714095890202561,0.5756593140603186,0.5745286037664292,0.5215507433894881,0.7214484679665738,0.5197207341113502,"[0.0, 0.5079365079365079, 0.6845878136200717, 0.8253968253968254, 0.625]","[0.0, 0.367816091954023, 0.7519685039370079, 0.8306709265175719, 0.6481481481481481]","[0.0, 0.4266666666666667, 0.7166979362101313, 0.8280254777070064, 0.6363636363636364]","[0.0, 0.367816091954023, 0.7519685039370079, 0.8306709265175719, 0.6481481481481481]"
Gradient Boosting,7,2,0.9896729015637342,0.9351004936200396,0.8814708276054712,0.5611844455554641,0.5596251825987815,0.5166551769719187,0.7138888888888889,0.4951493700660149,"[0.0, 0.5949367088607594, 0.7044673539518901, 0.7770700636942676, 0.6923076923076923]","[0.0, 0.46078431372549017, 0.7167832167832168, 0.8591549295774648, 0.43902439024390244]","[0.0, 0.5193370165745856, 0.7105719237435009, 0.8160535117056856, 0.5373134328358209]","[0.0, 0.46078431372549017, 0.7167832167832168, 0.8591549295774648, 0.43902439024390244]"
Gradient Boosting,8,2,0.9909723171795507,0.948032867633161,0.8593473076581806,0.48256670917065675,0.4808416429462278,0.5129130449567674,0.6634214186369958,0.4935228189855777,"[0.375, 0.37735849056603776, 0.6503496503496503, 0.7331288343558282, 0.6304347826086957]","[0.17647058823529413, 0.2597402597402597, 0.657243816254417, 0.8269896193771626, 0.5471698113207547]","[0.24, 0.3076923076923077, 0.6537785588752196, 0.7772357723577236, 0.5858585858585859]","[0.17647058823529413, 0.2597402597402597, 0.657243816254417, 0.8269896193771626, 0.5471698113207547]"
Gradient Boosting,9,2,0.9907797466683663,0.9387777356984051,0.8822404109128892,0.5372745375759485,0.5326206140350878,0.5089531225955549,0.6914446002805049,0.49865006679428736,"[0.0, 0.6285714285714286, 0.6258278145695364, 0.7980132450331126, 0.6333333333333333]","[0.0, 0.36363636363636365, 0.7470355731225297, 0.8397212543554007, 0.5428571428571428]","[0.0, 0.4607329842931937, 0.6810810810810811, 0.8183361629881154, 0.5846153846153846]","[0.0, 0.36363636363636365, 0.7470355731225297, 0.8397212543554007, 0.5428571428571428]"
Gradient Boosting,10,2,0.9910960693195857,0.9385503827641971,0.8553152520098258,0.4788020084878056,0.47617191014605764,0.4766868783085093,0.6535211267605634,0.4719820034693593,"[0.14285714285714285, 0.46987951807228917, 0.6116504854368932, 0.7864768683274022, 0.4666666666666667]","[0.058823529411764705, 0.319672131147541, 0.7052238805970149, 0.8095238095238095, 0.4666666666666667]","[0.08333333333333333, 0.3804878048780488, 0.6551126516464472, 0.7978339350180506, 0.4666666666666667]","[0.058823529411764705, 0.319672131147541, 0.7052238805970149, 0.8095238095238095, 0.4666666666666667]"
