,Test,p-value
wavelet2-LL_glszm_GrayLevelVariance,Kruskal-Wallis,0.0
wavelet2-LL_glszm_GrayLevelNonUniformityNormalized,Kruskal-Wallis,0.0
wavelet2-LL_glrlm_LongRunHighGrayLevelEmphasis,Kruskal-Wallis,0.0
wavelet2-LL_glrlm_HighGrayLevelRunEmphasis,Kruskal-Wallis,0.0
wavelet2-LL_glrlm_GrayLevelVariance,Kruskal-Wallis,0.0
wavelet2-LL_glrlm_GrayLevelNonUniformityNormalized,Kruskal-Wallis,0.0
wavelet2-LL_glcm_SumSquares,Kruskal-Wallis,0.0
exponential_firstorder_Variance,Kruskal-Wallis,0.0
exponential_firstorder_RootMeanSquared,Kruskal-Wallis,0.0
exponential_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,0.0
wavelet2-LL_firstorder_Mean,Kruskal-Wallis,0.0
wavelet2-LL_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,0.0
wavelet2-LL_firstorder_Kurtosis,Kruskal-Wallis,0.0
wavelet2-LL_firstorder_InterquartileRange,Kruskal-Wallis,0.0
original_glrlm_RunEntropy,Kruskal-Wallis,0.0
logarithm_firstorder_90Percentile,Kruskal-Wallis,0.0
wavelet2-LL_gldm_DependenceEntropy,Kruskal-Wallis,0.0
wavelet2-LL_ngtdm_Contrast,Kruskal-Wallis,0.0
logarithm_glcm_Idn,Kruskal-Wallis,0.0
logarithm_glcm_JointAverage,Kruskal-Wallis,0.0
logarithm_glcm_MCC,Kruskal-Wallis,0.0
logarithm_glcm_JointEntropy,Kruskal-Wallis,0.0
logarithm_glcm_Imc2,Kruskal-Wallis,0.0
logarithm_gldm_DependenceEntropy,Kruskal-Wallis,0.0
logarithm_gldm_GrayLevelVariance,Kruskal-Wallis,0.0
logarithm_gldm_HighGrayLevelEmphasis,Kruskal-Wallis,0.0
logarithm_gldm_LargeDependenceHighGrayLevelEmphasis,Kruskal-Wallis,0.0
squareroot_glcm_ClusterProminence,Kruskal-Wallis,0.0
squareroot_glcm_ClusterShade,Kruskal-Wallis,0.0
squareroot_glcm_ClusterTendency,Kruskal-Wallis,0.0
wavelet2-LL_glszm_SmallAreaHighGrayLevelEmphasis,Kruskal-Wallis,0.0
wavelet2-LL_glszm_ZoneEntropy,Kruskal-Wallis,0.0
squareroot_firstorder_InterquartileRange,Kruskal-Wallis,0.0
squareroot_gldm_GrayLevelVariance,Kruskal-Wallis,0.0
squareroot_glrlm_ShortRunHighGrayLevelEmphasis,Kruskal-Wallis,0.0
squareroot_gldm_HighGrayLevelEmphasis,Kruskal-Wallis,0.0
wavelet2-LL_gldm_HighGrayLevelEmphasis,Kruskal-Wallis,0.0
wavelet2-LL_gldm_GrayLevelVariance,Kruskal-Wallis,0.0
squareroot_glszm_GrayLevelNonUniformityNormalized,Kruskal-Wallis,0.0
squareroot_glszm_HighGrayLevelZoneEmphasis,Kruskal-Wallis,0.0
squareroot_firstorder_Kurtosis,Kruskal-Wallis,0.0
logarithm_ngtdm_Contrast,Kruskal-Wallis,0.0
wavelet2-LL_gldm_SmallDependenceHighGrayLevelEmphasis,Kruskal-Wallis,0.0
wavelet2-LL_gldm_LargeDependenceHighGrayLevelEmphasis,Kruskal-Wallis,0.0
squareroot_firstorder_Skewness,Kruskal-Wallis,0.0
wavelet2-LL_firstorder_TotalEnergy,Kruskal-Wallis,0.0
logarithm_glrlm_GrayLevelVariance,Kruskal-Wallis,0.0
logarithm_glrlm_HighGrayLevelRunEmphasis,Kruskal-Wallis,0.0
squareroot_glcm_Autocorrelation,Kruskal-Wallis,0.0
squareroot_firstorder_Variance,Kruskal-Wallis,0.0
squareroot_firstorder_Uniformity,Kruskal-Wallis,0.0
squareroot_glcm_JointAverage,Kruskal-Wallis,0.0
logarithm_glszm_HighGrayLevelZoneEmphasis,Kruskal-Wallis,0.0
squareroot_glcm_SumSquares,Kruskal-Wallis,0.0
squareroot_glrlm_GrayLevelNonUniformityNormalized,Kruskal-Wallis,0.0
squareroot_glrlm_GrayLevelVariance,Kruskal-Wallis,0.0
squareroot_glcm_Correlation,Kruskal-Wallis,0.0
squareroot_ngtdm_Contrast,Kruskal-Wallis,0.0
log-sigma-2-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,Kruskal-Wallis,0.0
squareroot_glrlm_HighGrayLevelRunEmphasis,Kruskal-Wallis,0.0
logarithm_glszm_ZoneEntropy,Kruskal-Wallis,0.0
log-sigma-2-mm-3D_firstorder_10Percentile,Kruskal-Wallis,0.0
squareroot_firstorder_90Percentile,Kruskal-Wallis,0.0
squareroot_firstorder_Entropy,Kruskal-Wallis,0.0
wavelet2-LL_glcm_Imc2,Kruskal-Wallis,0.0
wavelet2-LL_glcm_ClusterTendency,Kruskal-Wallis,0.0
original_firstorder_RootMeanSquared,Kruskal-Wallis,0.0
wavelet2-LL_glcm_SumEntropy,Kruskal-Wallis,0.0
wavelet2-LL_glcm_SumAverage,Kruskal-Wallis,0.0
wavelet2-LL_glcm_MCC,Kruskal-Wallis,0.0
squareroot_glcm_JointEntropy,Kruskal-Wallis,0.0
squareroot_glrlm_RunEntropy,Kruskal-Wallis,0.0
original_glcm_MCC,Kruskal-Wallis,0.0
squareroot_glrlm_LongRunHighGrayLevelEmphasis,Kruskal-Wallis,0.0
log-sigma-2-mm-3D_glcm_SumSquares,Kruskal-Wallis,0.0
log-sigma-2-mm-3D_glcm_MCC,Kruskal-Wallis,0.0
original_glcm_JointEntropy,Kruskal-Wallis,0.0
original_glcm_SumAverage,Kruskal-Wallis,0.0
original_glcm_JointAverage,Kruskal-Wallis,0.0
original_glcm_JointEnergy,Kruskal-Wallis,0.0
original_glrlm_GrayLevelVariance,Kruskal-Wallis,0.0
original_glrlm_GrayLevelNonUniformityNormalized,Kruskal-Wallis,0.0
logarithm_glrlm_GrayLevelNonUniformityNormalized,Kruskal-Wallis,0.0
logarithm_glcm_SumSquares,Kruskal-Wallis,0.0
squareroot_glcm_Imc2,Kruskal-Wallis,0.0
logarithm_glrlm_ShortRunHighGrayLevelEmphasis,Kruskal-Wallis,0.0
logarithm_glrlm_RunEntropy,Kruskal-Wallis,0.0
logarithm_glrlm_LongRunHighGrayLevelEmphasis,Kruskal-Wallis,0.0
log-sigma-2-mm-3D_glcm_ClusterTendency,Kruskal-Wallis,0.0
squareroot_firstorder_RootMeanSquared,Kruskal-Wallis,0.0
squareroot_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,0.0
squareroot_glcm_MCC,Kruskal-Wallis,0.0
squareroot_firstorder_Mean,Kruskal-Wallis,0.0
squareroot_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,0.0
log-sigma-2-mm-3D_glcm_Correlation,Kruskal-Wallis,0.0
log-sigma-2-mm-3D_glcm_Imc2,Kruskal-Wallis,0.0
original_firstorder_InterquartileRange,Kruskal-Wallis,0.0
original_firstorder_Kurtosis,Kruskal-Wallis,0.0
wavelet2-LL_glcm_ClusterShade,Kruskal-Wallis,0.0
wavelet2-LL_glcm_ClusterProminence,Kruskal-Wallis,0.0
original_glcm_SumSquares,Kruskal-Wallis,0.0
original_glcm_SumEntropy,Kruskal-Wallis,0.0
wavelet2-LL_glcm_JointEntropy,Kruskal-Wallis,0.0
wavelet2-LL_glcm_JointAverage,Kruskal-Wallis,0.0
original_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,0.0
original_firstorder_Mean,Kruskal-Wallis,0.0
original_firstorder_Uniformity,Kruskal-Wallis,0.0
original_firstorder_Entropy,Kruskal-Wallis,0.0
wavelet2-LL_glcm_Correlation,Kruskal-Wallis,0.0
original_glcm_Autocorrelation,Kruskal-Wallis,0.0
original_glcm_ClusterProminence,Kruskal-Wallis,0.0
